No.,SAMPLE_ID,식품명,,제조사,조사년도,식품분류,식품상세분류,식품코드,출처,1포장당,에너지(Kcal),에너지(kj),단백질(g),지질(g),탄수화물(g),총당류(g),나트륨(mg),콜레스테롤(mg),총 포화 지방산(g),총 포화 지방산(%),트랜스 지방산(g)
16,P064407-ZZ-AVG,일품해물라면컵,,(주) 팔도,2021,가공식품,유탕면,P064407,식약처('21),65,275,-,6,8,45,3,990,11,4.1,-,0
17,P064408-ZZ-AVG,팔도 mini 우동 왕뚜껑,,(주) 팔도,2021,가공식품,유탕면,P064408,식약처('21),80,375,-,7,13,58,3,1260,0,6,-,0
18,P064409-ZZ-AVG,팔도 mini왕뚜껑,,(주) 팔도,2021,가공식품,유탕면,P064409,식약처('21),80,355,-,6,15,49,3,1240,0,7,-,0
19,P064410-ZZ-AVG,팔도 가쓰오우동왕뚜껑,,(주) 팔도,2021,가공식품,유탕면,P064410,식약처('21),110,490,-,8,20,70,4,1580,0,10,-,0
20,P064411-ZZ-AVG,팔도 김치왕뚜껑,,(주) 팔도,2021,가공식품,유탕면,P064411,식약처('21),110,470,-,8,17,71,4,1790,0,9,-,0
21,P064412-ZZ-AVG,팔도 왕뚜껑,,(주) 팔도,2021,가공식품,유탕면,P064412,식약처('21),110,475,-,9,17,71,4,1690,0,9,-,0
22,P064413-ZZ-AVG,팔도 틈새라면 볶음면 컵,,(주) 팔도,2021,가공식품,유탕면,P064413,식약처('21),105,430,-,8,16,64,6,990,2,7,-,0
23,P064414-ZZ-AVG,팔도비빔면컵,,(주) 팔도,2021,가공식품,유탕면,P064414,식약처('21),115,465,-,8,18,68,14,1190,0,9,-,0
24,P064415-ZZ-AVG,팔도탄탄면 왕컵,,(주) 팔도,2021,가공식품,유탕면,P064415,식약처('21),116,500,-,11,22,65,4,1700,2,10,-,0
25,P064416-ZZ-AVG,편스토랑 마장면,,(주) 팔도,2021,가공식품,유탕면,P064416,식약처('21),123,515,-,10,18,78,11,1180,0,7,-,0
26,P064417-ZZ-AVG,편스토랑 파래탕면,,(주) 팔도,2021,가공식품,유탕면,P064417,식약처('21),103,440,-,10,16,64,2,1730,15,8,-,0
27,P064418-ZZ-AVG,우유라면,,(주) 팔도,2021,가공식품,유탕면,P064418,식약처('21),105,440,-,9,15,67,6,1530,2.4,8,-,0
28,P065193-ZZ-AVG,감자면큰사발면,,(주)농심,2021,가공식품,유탕면,P065193,식약처('21),92,405,-,6,15,62,5,1450,0,10,-,0
29,P065194-ZZ-AVG,김치사발면,,(주)농심,2021,가공식품,유탕면,P065194,식약처('21),86,380,-,7,14,56,5,1520,0,7,-,0
30,P065195-ZZ-AVG,김치큰사발면,,(주)농심,2021,가공식품,유탕면,P065195,식약처('21),112,500,-,9,18,75,6,1590,3,9,-,0
31,P065196-ZZ-AVG,너구리컵,,(주)농심,2021,가공식품,유탕면,P065196,식약처('21),62,280,-,5,10,42,4,940,0,5,-,0
32,P065197-ZZ-AVG,너구리큰사발면,,(주)농심,2021,가공식품,유탕면,P065197,식약처('21),111,515,-,9,21,72,4,1550,0,10,-,0
33,P065198-ZZ-AVG,마라고수(高手)마라탕면,,(주)농심,2021,가공식품,유탕면,P065198,식약처('21),97,445,-,8,18,63,5,1620,0,8,-,0
34,P065199-ZZ-AVG,무파마탕면큰사발면,,(주)농심,2021,가공식품,유탕면,P065199,식약처('21),112,495,-,9,17,76,4,1570,0,8,-,0
35,P065200-ZZ-AVG,보글보글부대찌개컵,,(주)농심,2021,가공식품,유탕면,P065200,식약처('21),65,290,-,5,10,45,2,1210,0,6,-,0
36,P065201-ZZ-AVG,보글보글부대찌개큰사발면,,(주)농심,2021,가공식품,유탕면,P065201,식약처('21),109,480,-,9,16,75,5,1690,5,8,-,0
37,P065202-ZZ-AVG,볶음너구리큰사발면,,(주)농심,2021,가공식품,유탕면,P065202,식약처('21),110,515,-,10,22,69,6,1090,3,9,-,0
38,P065203-ZZ-AVG,사리곰탕컵,,(주)농심,2021,가공식품,유탕면,P065203,식약처('21),61,275,-,5,10,41,2,1050,0,5,-,0
39,P065204-ZZ-AVG,사리곰탕큰사발면,,(주)농심,2021,가공식품,유탕면,P065204,식약처('21),111,490,-,8,17,76,3,1590,0,8,-,0
40,P065205-ZZ-AVG,사천짜파게티큰사발면,,(주)농심,2021,가공식품,유탕면,P065205,식약처('21),115,535,-,9,20,80,8,1010,0,9,-,0
41,P065206-ZZ-AVG,새우탕컵,,(주)농심,2021,가공식품,유탕면,P065206,식약처('21),67,290,-,5,11,43,3,1210,5,6,-,0
42,P065207-ZZ-AVG,새우탕큰사발면,,(주)농심,2021,가공식품,유탕면,P065207,식약처('21),115,510,-,10,18,77,5,1590,10,9,-,0
43,P065208-ZZ-AVG,순한너구리컵,,(주)농심,2021,가공식품,유탕면,P065208,식약처('21),63,275,-,5,9,43,4,1210,0,5,-,0
44,P065209-ZZ-AVG,辛라면 BLACK(컵),,(주)농심,2021,가공식품,유탕면,P065209,식약처('21),101,440,-,9,15,67,4,1450,0,8,-,0
45,P065210-ZZ-AVG,신라면 큰사발면,,(주)농심,2021,가공식품,유탕면,P065210,식약처('21),114,500,-,9,17,75,6,1550,0,8,-,0
46,P065211-ZZ-AVG,신라면블랙사발,,(주)농심,2021,가공식품,유탕면,P065211,식약처('21),101,445,-,9,15,68,5,1530,10,7,-,0
47,P065212-ZZ-AVG,신라면블랙사발 두부김치,,(주)농심,2021,가공식품,유탕면,P065212,식약처('21),94,400,-,7,13,64,7,1710,3,7,-,0
48,P065213-ZZ-AVG,신라면컵,,(주)농심,2021,가공식품,유탕면,P065213,식약처('21),65,300,-,5,10,47,3,1290,0,5,-,0
49,P065214-ZZ-AVG,안성탕면컵,,(주)농심,2021,가공식품,유탕면,P065214,식약처('21),66,290,-,5,11,43,3,1000,0,6,-,0
50,P065215-ZZ-AVG,앵그리짜파구리큰사발면,,(주)농심,2021,가공식품,유탕면,P065215,식약처('21),108,500,-,8,19,74,9,1230,3,8,-,0
51,P065216-ZZ-AVG,양념치킨큰사발면,,(주)농심,2021,가공식품,유탕면,P065216,식약처('21),122,500,-,9,19,73,16,1120,0,7,-,0
52,P065217-ZZ-AVG,오징어짬뽕컵,,(주)농심,2021,가공식품,유탕면,P065217,식약처('21),67,290,-,6,9,46,5,1240,13,5,-,0
53,P065218-ZZ-AVG,오징어짬뽕큰사발면,,(주)농심,2021,가공식품,유탕면,P065218,식약처('21),115,525,-,9,19,79,10,1590,18,10,-,0
54,P065219-ZZ-AVG,우육탕큰사발면,,(주)농심,2021,가공식품,유탕면,P065219,식약처('21),115,520,-,10,19,77,5,1590,3,10,-,0
55,P065220-ZZ-AVG,육개장사발면,,(주)농심,2021,가공식품,유탕면,P065220,식약처('21),86,375,-,7,15,53,4,1590,0,7,-,0
56,P065221-ZZ-AVG,육개장큰사발면,,(주)농심,2021,가공식품,유탕면,P065221,식약처('21),110,490,-,9,18,73,5,1610,3,9,-,0
57,P065222-ZZ-AVG,짜왕매운맛큰사발면,,(주)농심,2021,가공식품,유탕면,P065222,식약처('21),104,470,-,7,18,70,6,1020,0,8,-,0
58,P065223-ZZ-AVG,짜왕큰사발면,,(주)농심,2021,가공식품,유탕면,P065223,식약처('21),105,495,-,9,19,72,9,990,0,8,-,0
59,P065224-ZZ-AVG,짜파게티맛국물라볶이용기,,(주)농심,2021,가공식품,유탕면,P065224,식약처('21),199,630,-,8,20,105,14,1500,10,9,-,0
60,P065225-ZZ-AVG,짜파게티범벅,,(주)농심,2021,가공식품,유탕면,P065225,식약처('21),70,315,-,6,10,50,6,850,3,4.6,-,0
61,P065226-ZZ-AVG,짜파게티큰사발면,,(주)농심,2021,가공식품,유탕면,P065226,식약처('21),123,550,-,10,19,85,8,1220,0,9,-,0
62,P065227-ZZ-AVG,참치마요큰사발면,,(주)농심,2021,가공식품,유탕면,P065227,식약처('21),119,530,-,9,25,67,5,930,10,8,-,0
63,P065228-ZZ-AVG,콘치즈면,,(주)농심,2021,가공식품,유탕면,P065228,식약처('21),104,480,-,9,18,70,7,1030,0,8,-,0
64,P065229-ZZ-AVG,튀김우동컵,,(주)농심,2021,가공식품,유탕면,P065229,식약처('21),62,315,-,4,15,41,4,1200,0,5,-,0
65,P065230-ZZ-AVG,튀김우동큰사발면,,(주)농심,2021,가공식품,유탕면,P065230,식약처('21),111,515,-,9,21,73,8,1590,3,10,-,0
66,P065231-ZZ-AVG,특육개장큰사발면,,(주)농심,2021,가공식품,유탕면,P065231,식약처('21),103,460,-,8,18,67,5,1570,9,9,-,0
67,P065232-ZZ-AVG,해물안성탕면컵,,(주)농심,2021,가공식품,유탕면,P065232,식약처('21),66,290,-,5,11,43,5,1250,0,6,-,0
300,P035100-ZZ-AVG,해물안성탕면,,(주)농심,2020,가공식품,유탕면,P035100,식약처('20),112,485,-,-,-,-,5,1790,-,8,-,0
305,P035519-ZZ-AVG,냉라면,,(주)농심,2020,가공식품,유탕면,P035519,식약처('20),164,620,-,12,18,103,22,1790,-,9,-,0
306,P035520-ZZ-AVG,농심사리면,,(주)농심,2020,가공식품,유탕면,P035520,식약처('20),110,490,-,8,17,76,1,390,-,8,-,0
321,P037346-ZZ-AVG,앵그리너구리,,(주)농심,2020,가공식품,유탕면,P037346,식약처('20),121,500,-,9,14,85,5,1690,3,8,-,0
334,P038245-ZZ-AVG,칼빔면,,(주)농심,2020,가공식품,유탕면,P038245,식약처('20),144,595,-,9,21,92,15,1400,3,9,-,0
336,P038282-ZZ-AVG,짜파게티맛국물라볶이용기,,(주)농심,2020,가공식품,유탕면,P038282,식약처('20),199,630,-,8,20,105,14,1500,10,9,-,0
496,P042026-ZZ-AVG,순한너구리컵,,(주)농심,2020,가공식품,유탕면,P042026,식약처('20),63,275,-,5,9,43,4,1210,0,5,-,0
497,P042027-ZZ-AVG,너구리컵,,(주)농심,2020,가공식품,유탕면,P042027,식약처('20),62,280,-,5,10,42,4,940,0,5,-,0
498,P042028-ZZ-AVG,튀김우동컵,,(주)농심,2020,가공식품,유탕면,P042028,식약처('20),62,315,-,4,15,41,4,1200,0,5,-,0
499,P042029-ZZ-AVG,육개장사발면,,(주)농심,2020,가공식품,유탕면,P042029,식약처('20),86,375,-,7,15,53,4,1590,0,7,-,0
502,P042032-ZZ-AVG,무파마탕면큰사발면,,(주)농심,2020,가공식품,유탕면,P042032,식약처('20),112,495,-,9,17,76,4,1570,0,8,-,0
503,P042033-ZZ-AVG,너구리큰사발면,,(주)농심,2020,가공식품,유탕면,P042033,식약처('20),111,515,-,9,21,72,4,1550,0,10,-,0
506,P042066-ZZ-AVG,미니컵면 가쓰오우동맛,,(주)농심,2020,가공식품,유탕면,P042066,식약처('20),43,200,-,3,9,27,3,1010,0,4,-,0
507,P042067-ZZ-AVG,새우탕컵,,(주)농심,2020,가공식품,유탕면,P042067,식약처('20),67,290,-,5,11,43,3,1210,5,6,-,0
508,P042068-ZZ-AVG,안성탕면컵,,(주)농심,2020,가공식품,유탕면,P042068,식약처('20),66,290,-,5,11,43,3,1050,0,6,-,0
509,P042069-ZZ-AVG,신라면컵,,(주)농심,2020,가공식품,유탕면,P042069,식약처('20),65,300,-,5,10,47,3,1290,0,5,-,0
512,P042072-ZZ-AVG,사리곰탕큰사발면,,(주)농심,2020,가공식품,유탕면,P042072,식약처('20),111,490,-,8,17,76,3,1590,0,8,-,0
513,P042090-ZZ-AVG,미니컵면 시원한해장국맛,,(주)농심,2020,가공식품,유탕면,P042090,식약처('20),44,190,-,3,8,27,2,1050,0,4,-,0
514,P042092-ZZ-AVG,사리곰탕컵,,(주)농심,2020,가공식품,유탕면,P042092,식약처('20),61,275,-,5,10,41,2,1050,0,5,-,0
515,P042093-ZZ-AVG,보글보글부대찌개컵면,,(주)농심,2020,가공식품,유탕면,P042093,식약처('20),65,290,-,5,10,45,2,1210,0,6,-,0
519,P042189-ZZ-AVG,양념치킨큰사발면,,(주)농심,2020,가공식품,유탕면,P042189,식약처('20),122,500,-,9,19,73,16,1120,0,7,-,0
521,P042196-ZZ-AVG,마늘면볶이,,(주)농심,2020,가공식품,유탕면,P042196,식약처('20),111,460,-,7,14,76,14,1120,0,7,-,0
523,P042216-ZZ-AVG,오징어짬뽕큰사발,,(주)농심,2020,가공식품,유탕면,P042216,식약처('20),115,525,-,9,19,79,10,1590,18,10,-,0
524,P042222-ZZ-AVG,앵그리짜파구리큰사발면,,(주)농심,2020,가공식품,유탕면,P042222,식약처('20),108,500,-,8,19,74,9,1230,3,8,-,0
525,P042223-ZZ-AVG,짜파게티큰사발면,,(주)농심,2020,가공식품,유탕면,P042223,식약처('20),123,550,-,10,19,84,9,1220,0,9,-,0
526,P042224-ZZ-AVG,짜왕큰사발,,(주)농심,2020,가공식품,유탕면,P042224,식약처('20),105,495,-,9,19,72,9,990,0,8,-,0
527,P042225-ZZ-AVG,사천짜파게티큰사발면,,(주)농심,2020,가공식품,유탕면,P042225,식약처('20),115,535,-,9,20,80,9,1010,0,9,-,0
529,P042230-ZZ-AVG,튀김우동큰사발,,(주)농심,2020,가공식품,유탕면,P042230,식약처('20),111,515,-,9,21,73,8,1590,3,10,-,0
530,P042237-ZZ-AVG,콘치즈면,,(주)농심,2020,가공식품,유탕면,P042237,식약처('20),104,480,-,9,18,70,7,1030,0,8,-,0
533,P042250-ZZ-AVG,짜파게티범벅,,(주)농심,2020,가공식품,유탕면,P042250,식약처('20),70,315,-,6,10,50,6,850,3,4.6,-,0
534,P042255-ZZ-AVG,김치큰사발면,,(주)농심,2020,가공식품,유탕면,P042255,식약처('20),112,500,-,9,18,75,6,1590,3,9,-,0
535,P042256-ZZ-AVG,앵그리알티에이(RtA)큰사발면,,(주)농심,2020,가공식품,유탕면,P042256,식약처('20),114,515,-,9,20,75,6,1720,3,10,-,0
536,P042257-ZZ-AVG,신라면 큰사발면,,(주)농심,2020,가공식품,유탕면,P042257,식약처('20),114,490,-,9,17,75,6,1550,0,8,-,0
537,P042258-ZZ-AVG,짜왕매운맛큰사발면,,(주)농심,2020,가공식품,유탕면,P042258,식약처('20),104,470,-,7,18,70,6,1020,0,8,-,0
538,P042259-ZZ-AVG,볶음너구리큰사발,,(주)농심,2020,가공식품,유탕면,P042259,식약처('20),110,515,-,10,22,69,6,1090,3,9,-,0
540,P042284-ZZ-AVG,오징어짬뽕컵,,(주)농심,2020,가공식품,유탕면,P042284,식약처('20),67,290,-,6,9,46,5,1240,13,5,-,0
541,P042285-ZZ-AVG,해물안성탕면컵,,(주)농심,2020,가공식품,유탕면,P042285,식약처('20),66,290,-,5,11,43,5,1250,0,6,-,0
542,P042286-ZZ-AVG,김치사발면,,(주)농심,2020,가공식품,유탕면,P042286,식약처('20),86,380,-,7,14,56,5,1520,0,7,-,0
543,P042287-ZZ-AVG,감자면큰사발면,,(주)농심,2020,가공식품,유탕면,P042287,식약처('20),92,405,-,6,15,62,5,1450,0,10,-,0
544,P042288-ZZ-AVG,신라면블랙사발,,(주)농심,2020,가공식품,유탕면,P042288,식약처('20),101,445,-,9,15,68,5,1530,10,7,-,0
545,P042289-ZZ-AVG,마라고수(高手)마라탕면,,(주)농심,2020,가공식품,유탕면,P042289,식약처('20),97,445,-,8,18,63,5,1620,0,8,-,0
546,P042290-ZZ-AVG,특육개장큰사발면,,(주)농심,2020,가공식품,유탕면,P042290,식약처('20),103,460,-,8,18,67,5,1570,7,9,-,0
547,P042291-ZZ-AVG,육개장큰사발면,,(주)농심,2020,가공식품,유탕면,P042291,식약처('20),110,490,-,9,18,73,5,1610,3,9,-,0
548,P042292-ZZ-AVG,보글보글부대찌개큰사발면,,(주)농심,2020,가공식품,유탕면,P042292,식약처('20),109,480,-,9,16,75,5,1690,5,8,-,0
549,P042293-ZZ-AVG,감자탕큰사발면,,(주)농심,2020,가공식품,유탕면,P042293,식약처('20),105,485,-,9,19,69,5,1590,0,7,-,0
550,P042294-ZZ-AVG,우육탕큰사발면,,(주)농심,2020,가공식품,유탕면,P042294,식약처('20),115,520,-,10,19,77,5,1590,3,10,-,0
551,P042295-ZZ-AVG,새우탕큰사발면,,(주)농심,2020,가공식품,유탕면,P042295,식약처('20),115,500,-,10,18,77,5,1590,10,9,-,0
553,P042297-ZZ-AVG,참치마요큰사발면,,(주)농심,2020,가공식품,유탕면,P042297,식약처('20),119,530,-,9,25,67,5,930,10,8,-,0
562,P023571-ZZ-AVG,신라면,,(주)농심,2019,가공식품,유탕면,P023571,식약처('19),120,500,-,10,16,79,4,1790,0,9,-,0
563,P023572-ZZ-AVG,올리브짜파게티,,(주)농심,2019,가공식품,유탕면,P023572,식약처('19),140,610,-,11,20,97,6,1180,0,8,-,0
564,P023573-ZZ-AVG,신라면컵,,(주)농심,2019,가공식품,유탕면,P023573,식약처('19),65,300,-,5,10,47,3,1290,0,5,-,0
566,P023575-ZZ-AVG,농심 사리면,,(주)농심,2019,가공식품,유탕면,P023575,식약처('19),110,490,-,8,16,79,1,420,0,8,-,0
567,P023576-ZZ-AVG,얼큰한너구리,,(주)농심,2019,가공식품,유탕면,P023576,식약처('19),120,515,-,9,17,81,4,1700,0,8,-,0
568,P023577-ZZ-AVG,새우탕큰사발,,(주)농심,2019,가공식품,유탕면,P023577,식약처('19),115,500,-,10,17,77,4,1710,10,9,-,0
569,P023578-ZZ-AVG,튀김우동큰사발,,(주)농심,2019,가공식품,유탕면,P023578,식약처('19),111,490,-,8,18,73,6,1590,0,9,-,0
570,P023579-ZZ-AVG,짜파게티큰사발,,(주)농심,2019,가공식품,유탕면,P023579,식약처('19),123,560,-,10,20,85,8,1270,0,9,-,0
571,P023580-ZZ-AVG,신라면큰사발,,(주)농심,2019,가공식품,유탕면,P023580,식약처('19),114,490,-,9,17,75,17,1550,0,8,-,0
572,P023581-ZZ-AVG,무파마탕면,,(주)농심,2019,가공식품,유탕면,P023581,식약처('19),122,510,-,10,15,84,5,1720,0,8,-,0
574,P023583-ZZ-AVG,안성탕면,,(주)농심,2019,가공식품,유탕면,P023583,식약처('19),125,525,-,11,17,82,3,1790,0,9,-,0
576,P023585-ZZ-AVG,사천짜파게티,,(주)농심,2019,가공식품,유탕면,P023585,식약처('19),137,600,-,11,21,92,8,1080,0,8,-,0
578,P023587-ZZ-AVG,육개장사발면,,(주)농심,2019,가공식품,유탕면,P023587,식약처('19),86,375,-,7,15,53,2,1590,0,7,-,0
579,P023588-ZZ-AVG,튀김우동컵,,(주)농심,2019,가공식품,유탕면,P023588,식약처('19),62,315,-,4,15,41,4,1200,0,5,-,0
582,P023591-ZZ-AVG,오징어짬뽕컵,,(주)농심,2019,가공식품,유탕면,P023591,식약처('19),67,290,-,6,9,46,5,1240,13,5,-,0
583,P023592-ZZ-AVG,신라면블랙,,(주)농심,2019,가공식품,유탕면,P023592,식약처('19),134,575,-,12,18,91,8,1780,10,9,-,0
585,P023594-ZZ-AVG,튀김우동면,,(주)농심,2019,가공식품,유탕면,P023594,식약처('19),118,495,-,9,16,79,8,1760,3,8,-,0
587,P023596-ZZ-AVG,사리곰탕컵,,(주)농심,2019,가공식품,유탕면,P023596,식약처('19),61,270,-,5,10,40,1,1220,0,4.1,-,0
588,P023597-ZZ-AVG,오징어짬뽕,,(주)농심,2019,가공식품,유탕면,P023597,식약처('19),124,510,-,10,15,84,6,1750,12,8,-,0
593,P023602-ZZ-AVG,볶음너구리큰사발,,(주)농심,2019,가공식품,유탕면,P023602,식약처('19),110,515,-,10,22,69,7,1090,3,9,-,0
596,P023605-ZZ-AVG,짜왕큰사발,,(주)농심,2019,가공식품,유탕면,P023605,식약처('19),105,490,-,8,19,72,8,990,0,8,-,0
598,P023607-ZZ-AVG,해물안성탕면,,(주)농심,2019,가공식품,유탕면,P023607,식약처('19),112,485,-,10,16,75,5,1790,7,8,-,0
601,P023610-ZZ-AVG,우육탕큰사발면,,(주)농심,2019,가공식품,유탕면,P023610,식약처('19),115,475,-,8,17,72,3,1700,0,8,-,0
602,P023611-ZZ-AVG,볶음너구리,,(주)농심,2019,가공식품,유탕면,P023611,식약처('19),137,610,-,12,24,87,9,1280,3,8,-,0
603,P023612-ZZ-AVG,김치사발면,,(주)농심,2019,가공식품,유탕면,P023612,식약처('19),86,375,-,7,14,55,5,1520,0,7,-,0
604,P023613-ZZ-AVG,사리곰탕면,,(주)농심,2019,가공식품,유탕면,P023613,식약처('19),110,475,-,11,15,74,6,1700,0,8,-,0
605,P023614-ZZ-AVG,찰비빔면,,(주)농심,2019,가공식품,유탕면,P023614,식약처('19),130,555,-,9,22,80,15,1060,0,10,-,0
606,P023615-ZZ-AVG,보글보글부대찌개면,,(주)농심,2019,가공식품,유탕면,P023615,식약처('19),127,545,-,11,17,87,5,1850,5,8,-,0
610,P023619-ZZ-AVG,짜왕,,(주)농심,2019,가공식품,유탕면,P023619,식약처('19),134,605,-,10,22,92,8,1180,0,9,-,0
611,P023620-ZZ-AVG,순한너구리,,(주)농심,2019,가공식품,유탕면,P023620,식약처('19),120,500,-,9,15,82,4,1480,3,8,-,0
612,P023621-ZZ-AVG,사리곰탕큰사발면,,(주)농심,2019,가공식품,유탕면,P023621,식약처('19),111,495,-,8,17,77,5,1670,0,8,-,0
616,P023625-ZZ-AVG,신라면블랙사발,,(주)농심,2019,가공식품,유탕면,P023625,식약처('19),101,445,-,9,15,68,5,1530,10,7,-,0
617,P023626-ZZ-AVG,짜파게티범벅,,(주)농심,2019,가공식품,유탕면,P023626,식약처('19),70,315,-,6,10,50,5,850,0,4.6,-,0
619,P023628-ZZ-AVG,김치큰사발면,,(주)농심,2019,가공식품,유탕면,P023628,식약처('19),112,480,-,9,16,75,4,1430,0,8,-,0
620,P023629-ZZ-AVG,무파마탕면큰사발면,,(주)농심,2019,가공식품,유탕면,P023629,식약처('19),112,495,-,9,17,76,4,1570,0,8,-,0
622,P023631-ZZ-AVG,맛짬뽕,,(주)농심,2019,가공식품,유탕면,P023631,식약처('19),130,575,-,9,21,87,6,1780,10,9,-,0
623,P023632-ZZ-AVG,새우탕컵,,(주)농심,2019,가공식품,유탕면,P023632,식약처('19),67,315,-,6,12,46,2,1230,5,6,-,0
629,P023638-ZZ-AVG,짜왕매운맛,,(주)농심,2019,가공식품,유탕면,P023638,식약처('19),140,625,-,10,23,94,7,1250,0,10,-,0
631,P023640-ZZ-AVG,너구리큰사발면,,(주)농심,2019,가공식품,유탕면,P023640,식약처('19),111,515,-,9,21,72,4,1550,0,10,-,0
642,P023651-ZZ-AVG,농심감자면,,(주)농심,2019,가공식품,유탕면,P023651,식약처('19),117,505,-,11,17,77,4,1750,0,8,-,0
643,P023652-ZZ-AVG,감자탕면,,(주)농심,2019,가공식품,유탕면,P023652,식약처('19),133,565,-,13,18,88,6,1770,0,9,-,0
646,P023655-ZZ-AVG,우육탕면,,(주)농심,2019,가공식품,유탕면,P023655,식약처('19),123,525,-,9,17,84,6,1790,0,8,-,0
647,P023656-ZZ-AVG,특육개장큰사발면,,(주)농심,2019,가공식품,유탕면,P023656,식약처('19),110,485,-,10,16,75,4,1610,3,8,-,0
649,P023658-ZZ-AVG,해물안성탕면컵,,(주)농심,2019,가공식품,유탕면,P023658,식약처('19),66,290,-,5,11,43,5,1250,0,6,-,0
650,P023659-ZZ-AVG,오징어짬뽕큰사발,,(주)농심,2019,가공식품,유탕면,P023659,식약처('19),115,525,-,9,19,79,9,1590,18,10,-,0
655,P023664-ZZ-AVG,너구리컵,,(주)농심,2019,가공식품,유탕면,P023664,식약처('19),62,280,-,4,11,41,4,940,0,5,-,0
660,P023669-ZZ-AVG,양념치킨큰사발면,,(주)농심,2019,가공식품,유탕면,P023669,식약처('19),122,500,-,9,19,73,16,1120,0,7,-,0
663,P023673-ZZ-AVG,짜왕매운맛큰사발,,(주)농심,2019,가공식품,유탕면,P023673,식약처('19),104,490,-,8,19,72,8,990,0,8,-,0
678,P023689-ZZ-AVG,모듬해물탕면,,(주)농심,2019,가공식품,유탕면,P023689,식약처('19),125,540,-,10,17,87,4,1750,2,9,-,0
687,P023698-ZZ-AVG,사천짜파게티큰사발면,,(주)농심,2019,가공식품,유탕면,P023698,식약처('19),115,535,-,9,21,77,7,1030,0,9,-,0
689,P023700-ZZ-AVG,보글보글부대찌개큰사발면,,(주)농심,2019,가공식품,유탕면,P023700,식약처('19),109,480,-,9,16,75,5,1690,5,8,-,0
694,P023705-ZZ-AVG,안성탕면컵,,(주)농심,2019,가공식품,유탕면,P023705,식약처('19),66,285,-,5,11,42,5,1050,0,6,-,0
710,P023721-ZZ-AVG,양념치킨면,,(주)농심,2019,가공식품,유탕면,P023721,식약처('19),150,620,-,12,24,89,18,1250,0,9,-,0
719,P023730-ZZ-AVG,육개장라면,,(주)농심,2019,가공식품,유탕면,P023730,식약처('19),116,515,-,11,18,77,2,1780,2,9,-,0
722,P023733-ZZ-AVG,참치마요큰사발면,,(주)농심,2019,가공식품,유탕면,P023733,식약처('19),119,530,-,9,25,67,5,930,5,8,-,0
